E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16
Q5H8A3,,T,F,F,F,Q9GZQ4,,G protein-coupled 7TM receptor,Binds the NMU-R2 as a ligand in the NmU family to regulate circadian rhythms through autocrine and/or paracrine actions.,,Extracellular Protein Mediator,Regulatory,+,NMS,NMUR2
Q5H8A3,,T,F,F,F,Q9GZQ4,10302929,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,NMS,NMUR2
Q5T1H1,,T,F,F,F,P00533,592,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,EYS,EGFR
Q5T4W7,,T,F,F,F,O60609,2471744,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,ARTN,"GFRA3
"
Q5VYX0,,T,F,F,F,P23634,2290,Ligand-gated ion channel,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,RNLS,PMCA4
Q6EBC2,,T,F,F,F,Q8NI17,12811,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IL31,IL31RA
Q6EBC2,,T,F,F,F,Q99650,7222,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IL31,OSMR
Q6KF10,,T,F,F,F,P27037,782,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,GDF6,ACVR2A
Q6KF10,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor is suspected to induce dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. The effect of direct interaction of the ligand with the receptor is unclear.",,Extracellular Protein Mediator,Regulatory,+,GDF-6,BMPR1A
Q6KF10,,T,F,F,F,P36894,2007,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,GDF6,BMPR1A
Q6KF10,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. GDF56 regulates downstream SMAD-dependent and SMAD-independent pathways.",,Extracellular Protein Mediator,Regulatory,+,GDF6,BMPR1A
Q6KF10,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. GDF6 controls proliferation and cellular differentiation in the retina and bone formation,and plays a key role in regulating apoptosis during retinal development.",,Extracellular Protein Mediator,Regulatory,+,GDF6,BMPR1A
Q6KF10,,T,F,F,F,P36894,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. stimulatory promoting signalling pathways involved in development and differentiation",,Extracellular Protein Mediator,Regulatory,+,GDF6,BMPR1A
Q6KF10,,T,F,F,F,O00238,816,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,GDF6,BMPR1B
Q6KF10,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets,including SMAD1,SMAD5 and SMAD8,which are activated transcription factors upon their phosphorylation.",,Extracellular Protein Mediator,Regulatory,+,GDF6,BMPR1B
Q6KF10,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. Controls proliferation and cellular differentiation in the retina and bone formation",,Extracellular Protein Mediator,Regulatory,+,GDF6,BMPR1B
Q6KF10,,T,F,F,F,O00238,,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets. Positively regulates differentiation of chondrogenic tissue through the growth factor receptors subunits BMPR1A+ BMPR1B+ BMPR2 and ACVR2A leading to the activation of SMAD1-SMAD5-SMAD8 complex. ",,Extracellular Protein Mediator,Regulatory,+,GDF6,BMPR1B
Q6KF10,,T,F,F,F,Q13873,672,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,GDF6,BMPR2
Q6UW88,,T,F,F,F,P00533,592,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,EPGN,EGFR
Q6UW88,,T,F,F,F,P00533,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. binds to EGFR and induces its activation and signalling cascades ",,Extracellular Protein Mediator,Tyr Kinase,+,EPGN,EGFR
Q6UW88,,T,F,F,F,P00533,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. causes dimerization and activation of EGFR/activates downstream signalling of EGFR ",,Extracellular Protein Mediator,Tyr Kinase,+,EPGN,EGFR
Q6UX46,,T,F,F,F,Q9UM73,,Activating ligand for receptor tyrosine kinases ALK and LTK,,,Extracellular Protein Mediator,Tyr Kinase,+,ALKAL2,ALK
Q6UXB2,,T,F,F,F,Q9HC97,2472252,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CXCL17,GPR35
Q6UXH0,,T,F,F,F,Q6WN34,2379445,Secreted protein,Engagement with CHRDL2 may increase it ability to bind BMPs and inhibit their binding to BMP receptors,,Extracellular Protein Mediator,Regulatory,-,ANGPTL8,CHRDL2
Q6UY11,,T,F,F,F,P46531,8548,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,DLK2,NOTCH1
Q6X4U4,,T,F,F,F,P12644,,Secreted factor,inhibits BMP4 signalling by binding to and preventing it from interacting with its receptors,,Extracellular Protein Mediator,Regulatory,-,SOSTDC1,BMP4
Q6X4U4,,T,F,F,F,P12644,,Secreted Factor,May be involved in the onset of endometrial receptivity for implantation/sensitization for the decidual cell reaction. Enhances Wnt signalling and inhibits TGF-beta signalling and directly antagonizes activity of BMP2 BMP4 BMP6 and BMP7 in a dose-dependent manner,,Extracellular Protein Mediator,Regulatory,-,SOSTDC1,BMP4
Q6ZMJ4,,T,F,F,F,P07333,876,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,IL34,CSF1R
Q6ZMJ4,,T,F,F,F,P07333,,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets. signalling via CSF1R and its downstream effectors stimulates phosphorylation of MAPK1/ERK2 AND MAPK3/ERK1. Promotes the proliferation/survival/differentiation of monocytes and macrophages and the release of proinflammatory cytokines. ",,Extracellular Protein Mediator,Tyr Kinase,+,IL34,CSF1R
Q7Z4H4,,T,F,F,F,O60896,,G protein-coupled 7TM receptor,activates CALCRL-RAMP3 receptor complex and cAMP-dependent pathways,,Extracellular Protein Mediator,Regulatory,+,ADM2,RAMP3
Q7Z4P5,,T,F,F,F,O00238,816,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,GDF7,BMPR1B
Q7Z4P5,,T,F,F,F,Q13873,672,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Regulatory,+,GDF7,BMPR2
Q7Z5Y6,,T,F,F,F,P36897,665,Receptor protein-serine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Ser/Thr Kinase,+,BMP8a,TGFBR1
Q86UU9,,T,F,F,F,P25103,,G protein-coupled 7TM receptor,"Tachykinins are active peptides which excite neurons,evoke behavioral responses,are potent vasodilators and secretagogues,and contract (directly or indirectly) many smooth muscles. TAC4 activates downstream pathways involving SPR (TACR1).",,Extracellular Protein Mediator,Regulatory,+,TAC4,SPR
Q86WN2,,T,F,F,F,P17181,850,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNE,IFNAR1
Q86WN2,,T,F,F,F,P48551,7260,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNE,IFNAR2
Q86XS5,,T,F,F,F,Q8N423,,Single pass TM receptor,regulation of lipoprotein lipase and promotes angiogenesis,,Extracellular Protein Mediator,Regulatory,+,ANGPTL5,LILRB2
Q8IU54,,T,F,F,F,Q8IU57,,Single pass TM receptor,Binds and activates IFNLR1 signalling with high affinity,,Extracellular Protein Mediator,Regulatory,+,IFNL1,IFNLR1
Q8IU54,,T,F,F,F,Q8IU57,,Single pass TM receptor,binds IFNLR1 to initiate signalling pathways that regulate immune responses and epithelial protection,,Extracellular Protein Mediator,Regulatory,+,IFNL1,IFNLR1
Q8IU54,,T,F,F,F,Q8IU57,,Single pass TM receptor,direct stimulatory relationship,,Extracellular Protein Mediator,Regulatory,+,IFNL1,IFNLR1
Q8IU54,,T,F,F,F,Q8IU57,5721,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL1,IFNLR1
Q8IU54,,T,F,F,F,Q8IU57,5721,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL1,IFNLR1
Q8IU54,,T,F,F,F,Q8IU57,,Single pass TM receptor,binds IFNLR1 to activate downstream signalling pathways involved in immune defense,,Extracellular Protein Mediator,Regulatory,+,IFNL1,IFNLR1
Q8IU54,,T,F,F,F,Q08334,19762,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL1,IL10RB
Q8IU54,,T,F,F,F,Q08334,,Single pass TM receptor,interacts with IL10RB to trigger signalling pathways involved in antiviral defense and epithelial cell protection,,Extracellular Protein Mediator,Regulatory,+,IFNL1,IL10RB
Q8IZI9,,T,F,F,F,Q8IU57,,Single pass TM receptor,activates the JAK/STAT signalling pathway,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IFNLR1
Q8IZI9,,T,F,F,F,Q8IU57,,Single pass TM receptor,antitumour and immunomodulatory activities,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IFNLR1
Q8IZI9,,T,F,F,F,Q8IU57,,Single pass TM receptor,Binds and activates IFNLR1 signalling with lower affinity than IFNL1,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IFNLR1
Q8IZI9,,T,F,F,F,Q8IU57,5721,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IFNLR1
Q8IZI9,,T,F,F,F,Q8IU57,,Single pass TM receptor,IL10RB-IFNLR1 dimer activates IFNL3 to activate the JAK/STAT signalling pathway resulting in the expression of IFN-stimulated genes (ISG),,Extracellular Protein Mediator,Regulatory,+,IFNL3,IFNLR1
Q8IZI9,,T,F,F,F,Q8IU57,,Single pass TM receptor,upon binding the IFNLR1 and IL10RB heterodimer activation of the JAK/STAT pathway takes place,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IFNLR1
Q8IZI9,,T,F,F,F,Q08334,,Single pass TM receptor,cytokine with antiviral antitumour and immunomodulatory activities that acts as a ligand for the heterodimeric class II cytokine receptor composed of IL10RB and IFNLR1 and receptor engagement leads to the activation of the JAK/STAT signalling pathway resulting in the expression of IFN-stimulated genes (ISG) and up-regulating MHC class I antigen expression which mediate the antiviral state. It has a restricted receptor distribution and therefore restricted targets: is primarily active in epithelial cells and this cell type-selective action is because of the epithelial cell-specific expression of its receptor IFNLR1,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IL10RB
Q8IZI9,,T,F,F,F,Q08334,,Single pass TM receptor,cytokine with antiviral antitumour and immunomodulatory activities that acts as a ligand for the heterodimeric class II cytokine receptor composed of IL10RB and IFNLR1 and receptor engagement leads to the activation of the JAK/STAT signalling pathway resulting in the expression of IFN-stimulated genes (ISG) and up-regulating MHC class I antigen expression which mediate the antiviral state,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IL10RB
Q8IZI9,,T,F,F,F,Q08334,19762,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IL10RB
Q8IZI9,,T,F,F,F,Q08334,,Single pass TM receptor,initiates interleukin signalling by promoting the binding between IFNLR1 and IL10RB leading to JAK/STAT activation and expression of various genes promoting an antiviral/antitumour/immunomodulatory state,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IL10RB
Q8IZI9,,T,F,F,F,Q08334,,Single pass TM receptor,Ligand for IL10RB that activates the JAK/STAT pathway upon binding and increases expression of ISGs,,Extracellular Protein Mediator,Regulatory,+,IFNL3,IL10RB
Q8IZJ0,,T,F,F,F,Q8IU57,,Single pass TM receptor,antitumour and immunomodulatory activities,,Extracellular Protein Mediator,Regulatory,+,IFNL2,IFNLR1
Q8IZJ0,,T,F,F,F,Q8IU57,5721,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL2,IFNLR1
Q8IZJ0,,T,F,F,F,Q8IU57,5721,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL2,IFNLR1
Q8IZJ0,,T,F,F,F,Q08334,19762,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL2,IL10RB
Q8IZJ0,,T,F,F,F,Q08334,19762,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IFNL2,IL10RB
Q8IZJ0,,T,F,F,F,Q08334,,Single pass TM receptor,stimulatory manner by binding to this receptor to activate signalling pathways that regulate immune responses,,Extracellular Protein Mediator,Regulatory,+,IFNL2,IL10RB
Q8NEV9,,T,F,F,F,Q6UWB1,20798,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IL27A,IL27RA
Q8NEV9,,T,F,F,F,P40189,,Associates with EBI3 to form the IL-27 interleukin a heterodimeric cytokine which functions in innate immunity,The interaction between Interleukin-27 subunit alpha and IL6ST is an integral component of the IL-27 signalling pathway which regulates immune responses/ inflammation and the differentiation of T-helper cells. IL27A in combination with EBI3 (IL27B) forms the functional cytokine IL-27,,Extracellular protein mediator,Regulatory,+,IL27,IL6ST
Q8NEV9,,T,F,F,F,P40189,,Associates with EBI3 to form the IL-27 interleukin a heterodimeric cytokine which functions in innate immunity,The interaction between Interleukin-27 subunit alpha and IL6ST is an integral component of the IL-27 signalling pathway which regulates immune responses/ inflammation and the differentiation of T-helper cells. IL27A in combination with EBI3 (IL27B) forms the functional cytokine IL-27,,Extracellular protein mediator,Regulatory,+,IL27,IL6ST
Q8NEV9,,T,F,F,F,P40189,,Single pass TM receptor,Associates with EBI3 to form the IL-27 interleukin a heterodimeric cytokine which functions in innate immunity. IL-27 has pro- and anti-inflammatory properties that can regulate T-helper cell development suppress T-cell proliferation stimulate cytotoxic T-cell activity induce isotype switching in B-cells and that has diverse effects on innate immune cells,,Extracellular Protein Mediator,Regulatory,+,IL27,IL6ST
Q8NEV9,,T,F,F,F,P40189,,Single pass TM receptor,Forms IL-27 with EBI3 activating STAT1 STAT3 STAT4 and STAT5 phosphorylation,,Extracellular Protein Mediator,Regulatory,+,IL27,IL6ST
Q8NEV9,,T,F,F,F,P40189,,Single pass TM receptor,Signals through IL6ST/GP130 complex activating STAT1 STAT3 STAT4 and STAT5,,Extracellular Protein Mediator,Regulatory,+,IL27,IL6ST
Q8NEV9,,T,F,F,F,P40189,1105,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,IL27A,IL6ST
Q8WWG1,,T,F,F,F,Q15303,594,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,NRG4,ERBB4
Q8WXF3,,T,F,F,F,Q9HBX9,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,RLN3,RXFP1
Q8WXF3,,T,F,F,F,Q8TDU9,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear. RXFP4 is receptor for RLN3/relaxin-3. Binding of the ligand inhibit cAMP accumulation.,,Extracellular Protein Mediator,Regulatory,0,RLN3,RXFP4
Q92520,,T,F,F,F,P23416,,Ligand-gated ion channel,Ligand involved in retinal laminar formation,,Extracellular Protein Mediator,Regulatory,+,FAMC,GLRA2
Q92583,,T,F,F,F,P51679,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,CCL17,CCR4
Q92583,,T,F,F,F,P51679,4851671,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL17,CCR4
Q92583,,T,F,F,F,P51679,,G protein-coupled 7TM receptor,stimulates CCR4-dependent immune cell signalling and migration and intracellular calcium mobilization,,Extracellular Protein Mediator,Regulatory,+,CCL17,CCR4
Q92583,,T,F,F,F,P51685,,G protein-coupled 7TM receptor,activates downstream effect of cell migration and adhesion,,Extracellular Protein Mediator,Regulatory,+,CCL17,CCR8
Q92583,,T,F,F,F,P51685,,G protein-coupled 7TM receptor,activates downstream effect of cell migration and adhesion,,Extracellular Protein Mediator,Regulatory,+,CCL17,CCR8
Q92583,,T,F,F,F,P51685,,G protein-coupled 7TM receptor,Chemotactic factor for T-lymphocytes but not monocytes or granulocytes. May play a role in T-cell development in thymus and in trafficking and activation of mature T-cells,,Extracellular Protein Mediator,Regulatory,+,CCL17,CCR8
Q92838,,T,F,F,F,Q01113,,Single pass TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,EDA,IL9R
Q92913,,T,F,F,F,P07437,2690,Cytoplasmic soluble,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,FGF13,TUBB
Q92915,,T,F,F,F,Q99250,5152,Ligand-gated ion channel,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,FGF14,SCN2A
Q92915,,T,F,F,F,Q9UQD0,7826,Ligand-gated ion channel,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,FGF14,SCN8A
Q92954,,T,F,F,F,P16070,4680,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,PRG4,CD44
Q92954,,T,F,F,F,P16070,4680,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,PRG4,CD44
Q969D9,,T,F,F,F,P16871,,Single pass TM receptor,TSLP binds CRLF2/TSLPR to recruit IL7R to form receptor complex that binds to thymic stromal lymphopoietin for cell proliferation,,Extracellular Protein Mediator,Regulatory,+,TSLP,IL-7RA
Q96DZ1,,T,F,F,F,Q9UKV5,,Single pass TM receptor,Probable lectin that binds selectively to improperly folded lumenal proteins. May function in endoplasmic reticulum quality control and endoplasmic reticulum-associated degradation (ERAD) of both non-glycosylated proteins and glycoproteins selectively binds misfolded protein for AMFR-mediated ERAD .,,Extracellular Protein Mediator,Regulatory,+,ERLEC1,AMFR
Q96RP3,,T,F,F,F,P49190,14554225,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,UCN2,PTH2R
Q96S42,,T,F,F,F,Q9H2X0,10166737,developmental protein/dorsalizing factor,effect of interaction unknown,,Extracellular Protein Mediator,Extracellular Protein Mediator,0,Nodal,CHRD
Q96S42,,T,F,F,F,P36896,2010,serine/threonine protein kinase receptor,Nodal binding ACVR1B activates downstream signalling which leads to the activation of SMAD2/3,,Extracellular Protein Mediator,Ser/Thr Kinase,+,Nodal,ACVR1B
Q96S42,,T,F,F,F,P27037,782,serine/threonine protein kinase receptor,Nodal binding ACVR2A activates downstream signalling which leads to the activation of SMAD2/3,,Extracellular Protein Mediator,Ser/Thr Kinase,+,Nodal,ACVR2A
Q96S42,,T,F,F,F,Q13705,783,serine/threonine protein kinase receptor,Nodal binding ACVR2B activates downstream signalling which leads to the activation of SMAD2/3,,Extracellular Protein Mediator,Ser/Thr Kinase,+,Nodal,ACVR2B
Q96S42,,T,F,F,F,Q8NBS9,3291221,disulfide isomerase,"TXNDC5 possesses thioredoxin activity,and has been shown to reduce insulin disulfide bonds.",,Extracellular Protein Mediator,Extracellular Protein Mediator,+,Nodal,TXNDC5
Q99075,,T,F,F,F,P00533,592,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,HBEGF,EGFR
Q99075,,T,F,F,F,P04626,1580,Receptor protein-tyrosine kinase,"Engagement of extracellular mediator with the receptor induces dimerization,trans-autophosphorylation,docking of adaptor proteins,and stimulation of the receptor phosphotransferase activity towards downstream targets.",,Extracellular Protein Mediator,Tyr Kinase,+,HBEGF,ERBB2
Q99075,,T,F,F,F,Q15303,594,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Tyr Kinase,+,HBEGF,ERBB4
Q99616,,T,F,F,F,P49682,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,CCL13,CXCR3
Q99616,,T,F,F,F,Q9NPB9,,G protein-coupled 7TM receptor,CCL13 binds to ACKR4 and induces beta-arrestin recruitment leading to ligand internalization,,Extracellular Protein Mediator,Regulatory,+,CCL13,ACKR4
Q99616,,T,F,F,F,P32246,,G protein-coupled 7TM receptor,lymphocytes,,Extracellular Protein Mediator,Regulatory,+,CCL13,CCR1
Q99616,,T,F,F,F,P41597,,G protein-coupled 7TM receptor,CCL13 binds to and signals through the CCR2 receptor. CCL13 plays a role in the accumulation of leukocytes at both sides of allergic and non-allergic inflammation.,,Extracellular Protein Mediator,Regulatory,+,CCL13,CCR2
Q99616,,T,F,F,F,P41597,,G protein-coupled 7TM receptor,CCL13 binds to and signals through the CCR2 receptor. CCL13 plays a role in the accumulation of leukocytes at both sides of allergic and non-allergic inflammation.,,Extracellular Protein Mediator,Regulatory,+,CCL13,CCR2
Q99616,,T,F,F,F,P41597,,G protein-coupled 7TM receptor,Chemotactic factor that attracts monocytes lymphocytes basophils and eosinophils but not neutrophils. Plays a role in the accumulation of leukocytes at both sides of allergic and non-allergic inflammation,,Extracellular Protein Mediator,Regulatory,+,CCL13,CCR2
Q99616,,T,F,F,F,P41597,1867,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL13,CCR2
Q99616,,T,F,F,F,P51677,2317945,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL13,CCR3
Q99616,,T,F,F,F,P51677,,G protein-coupled 7TM receptor,reducing its activity,,Extracellular Protein Mediator,Regulatory,+,CCL13,CCR3
Q99650,,T,F,F,F,P40189,,Single pass TM receptor,Forms a heterodimer with IL6ST,,Extracellular Protein Mediator,Regulatory,+,OSMR,IL6ST
Q99650,,T,F,F,F,P40189,,Single pass TM receptor,Forms a heterodimer with IL6ST,,Extracellular Protein Mediator,Regulatory,+,OSMR,IL6ST
Q99650,,T,F,F,F,P40189,,Single pass TM receptor,Forms a heterodimer with IL6ST,,Extracellular Protein Mediator,Regulatory,+,OSMR,IL6ST
Q99731,,T,F,F,F,P32248,,G protein-coupled 7TM receptor,The effect of direct interaction of the ligand with the receptor is unclear.,,Extracellular Protein Mediator,Regulatory,0,CCL19,CCR7
Q99731,,T,F,F,F,Q9NPB9,,G protein-coupled 7TM receptor,Binds CCR11 and induces chemotaxis of dendritic cells and T cells,,Extracellular Protein Mediator,Regulatory,+,CCL19,ACKR4
Q99731,,T,F,F,F,Q9NPB9,,G protein-coupled 7TM receptor,CCL19 binds to ACKR4 and induces beta-arrestin recruitment leading to ligand internalization. ACKR4 plays an important role in controlling the migration of immune and cancer cells that express chemokine receptors CCR7 and CCR9 by reducing the availability of CCL19 through internalization,,Extracellular Protein Mediator,Regulatory,+,CCL19,ACKR4
Q99731,,T,F,F,F,Q9NPB9,21873,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL19,ACKR4
Q99731,,T,F,F,F,Q9NPB9,,G protein-coupled 7TM receptor,negatively regulates ACKR4 signalling by recruiting beta-arrestin to the cell membrane for ACKR4 internalization / promotes ACKR4 signalling leading to cell chemotaxis,,Extracellular Protein Mediator,Regulatory,+,CCL19,ACKR4
Q99731,,T,F,F,F,P32248,,G protein-coupled 7TM receptor,binding activates downstream signalling/pathways not exactly known but may play roles in migration and homing of normal lymphocytes,,Extracellular Protein Mediator,Regulatory,+,CCL19,CCR7
Q99731,,T,F,F,F,P32248,7322,G protein-coupled 7TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,CCL19,CCR7
Q99748,,T,F,F,F,P56159,,Single pass TM receptor,Binding with low affinity influences RET complex formation and activation of downstream signalling pathways.,,Extracellular Protein Mediator,Regulatory,+,NRTN,GFRA1
Q99748,,T,F,F,F,O00451,,Single pass TM receptor,binds to GFRA2 with high affinity. This interaction forms a complex that activates the RET tyrosine kinase receptor triggering signalling cascades involved in neuron survival and differentiation,,Extracellular Protein Mediator,Regulatory,+,NRTN,GFRA2
Q99748,,T,F,F,F,O00451,5141752,Single pass TM receptor,Engagement of extracellular mediator with the receptor activates downstream signalling.,,Extracellular Protein Mediator,Regulatory,+,NRTN,GFRA2
